Gene_name,activator,agonist,antibody,binder,blocker,cleavage,immunotherapy,inhibitor,inverse agonist,modulator,negative modulator,other/unknown,positive modulator,potentiator,vaccine
A12M1,0,35,0,0,0,0,0,12,0,0,0,0,0,0,0
A12M2,0,32,0,0,0,0,0,8,0,0,0,0,0,0,0
A12M3,0,50,0,0,0,0,0,80,0,0,0,0,0,0,0
A12M4,0,44,0,0,0,0,0,52,0,0,0,0,0,0,0
A1BG,0,71,0,0,0,0,0,47,0,1,0,0,0,0,0
A2M,0,56,0,1,0,0,0,25,0,1,0,0,0,0,0
A2MP1,0,56,0,0,0,0,0,30,0,1,0,0,0,0,0
AADAC,0,31,0,0,0,0,0,43,0,32,0,0,0,0,0
AADAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAK1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
AAMP,0,22,0,0,0,0,0,52,0,23,0,0,0,0,0
AANAT,0,24,0,0,0,0,0,48,0,13,0,0,0,0,0
AARS1,0,24,0,0,0,0,0,49,0,19,0,0,0,0,0
AAVS1,0,18,0,0,0,0,0,39,0,10,0,0,0,0,0
ABAT,0,30,0,0,0,0,0,47,0,2,0,0,0,0,0
ABCA1,0,34,0,0,0,0,0,64,0,0,0,0,0,0,0
ABCA2,0,20,0,0,0,0,0,60,0,0,0,0,0,0,0
ABCA3,0,34,0,0,0,0,0,62,0,3,0,0,0,0,0
ABCA4,0,9,0,0,0,0,0,36,0,0,0,0,0,0,0
ABCA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ABCB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB7,0,11,0,0,0,0,0,43,0,0,0,0,0,0,0
ABCC1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ABCC10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ABCC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6,0,21,0,0,0,0,0,36,0,0,0,0,0,0,0
ABCC8,0,0,0,0,13,0,0,2,0,0,0,0,0,2,0
ABCC9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ABCD1,0,33,0,0,0,0,0,46,0,1,0,0,0,0,0
ABCD2,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0
ABCF1,0,9,0,0,0,0,0,33,0,0,0,0,0,0,0
ABCG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ABCG4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
