id,Symbol,Name,Target Development Level
140,CSF3R,Granulocyte colony-stimulating factor receptor,Tclin
173,UGCG,Ceramide glucosyltransferase,Tclin
491,DNMT3A,DNA (cytosine-5)-methyltransferase 3A,Tclin
495,DNMT1,DNA (cytosine-5)-methyltransferase 1,Tclin
691,POLE,DNA polymerase epsilon catalytic subunit A,Tclin
1079,ELANE,Neutrophil elastase,Tclin
1278,POLA1,DNA polymerase alpha catalytic subunit,Tclin
1969,CSF1R,Macrophage colony-stimulating factor 1 receptor,Tclin
2380,CDK4,Cyclin-dependent kinase 4,Tclin
2432,CD33,Myeloid cell surface antigen CD33,Tclin
3803,PSMB8,Proteasome subunit beta type-8,Tclin
5685,IL2RB,Interleukin-2 receptor subunit beta,Tclin
5719,IL2RA,Interleukin-2 receptor subunit alpha,Tclin
5814,FDPS,Farnesyl pyrophosphate synthase,Tclin
6116,HCAR2,Hydroxycarboxylic acid receptor 2,Tclin
6304,FLT3,Receptor-type tyrosine-protein kinase FLT3,Tclin
6501,FNTA,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,Tclin
6721,HRH1,Histamine H1 receptor,Tclin
6933,MET,Hepatocyte growth factor receptor,Tclin
6956,IGF1R,Insulin-like growth factor 1 receptor,Tclin
6961,IL2RG,Cytokine receptor common subunit gamma,Tclin
6970,ITGB2,Integrin beta-2,Tclin
7662,TOP2B,DNA topoisomerase 2-beta,Tclin
7777,TNF,Tumor necrosis factor,Tclin
8087,SMO,Smoothened homolog,Tclin
8835,TUBB2A,Tubulin beta-2A chain,Tclin
9048,TOP1,DNA topoisomerase 1,Tclin
9079,TOP2A,DNA topoisomerase 2-alpha,Tclin
10298,KRAS,GTPase KRas,Tclin
10470,PTGER4,Prostaglandin E2 receptor EP4 subtype,Tclin
10475,PDGFRB,Platelet-derived growth factor receptor beta,Tclin
10488,F2R,Proteinase-activated receptor 1,Tclin
10541,PDE4B,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Tclin
10723,RARA,Retinoic acid receptor alpha,Tclin
10808,PTGS2,Prostaglandin G/H synthase 2,Tclin
10956,MME,Neprilysin,Tclin
11327,PRKCD,Protein kinase C delta type,Tclin
11973,LEPR,Leptin receptor,Tclin
12748,JAK1,Tyrosine-protein kinase JAK1,Tclin
13070,CA1,Carbonic anhydrase 1,Tclin
13600,BCL2,Apoptosis regulator Bcl-2,Tclin
14044,CDK6,Cyclin-dependent kinase 6,Tclin
14103,POLD1,DNA polymerase delta catalytic subunit,Tclin
15356,NDUFAB1,"Acyl carrier protein, mitochondrial",Tclin
15910,AHR,Aryl hydrocarbon receptor,Tclin
16411,UMPS,Uridine 5'-monophosphate synthase,Tclin
17103,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,Tclin
17295,NDUFAF1,"Complex I intermediate-associated protein 30, mitochondrial",Tclin
17483,GUCY1A2,Guanylate cyclase soluble subunit alpha-2,Tclin
17484,GUCY1B1,Guanylate cyclase soluble subunit beta-1,Tclin
17769,KIT,Mast/stem cell growth factor receptor Kit,Tclin
18029,IMPDH2,Inosine-5'-monophosphate dehydrogenase 2,Tclin
18080,IMPDH1,Inosine-5'-monophosphate dehydrogenase 1,Tclin
18190,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,Tclin
18191,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial",Tclin
18960,NTRK3,NT-3 growth factor receptor,Tclin
19002,NDUFC1,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",Tclin
19004,NDUFB6,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,Tclin
19360,JAK2,Tyrosine-protein kinase JAK2,Tclin
20002,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,Tclin
20317,NDUFA8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,Tclin
