Gene_name,lof_hc_lc.obs,lof_hc_lc.oe,lof_hc_lc.mu,lof_hc_lc.pLI,lof_hc_lc.pNull,lof_hc_lc.pRec,mis.z_raw,syn.oe,syn.z_raw
A1BG,114.0,3.0044500000000003,1.83245e-06,2.530600032512e-08,2.04133,0.95867,-4.39113,3.06351,-1.3677499999999998
A1CF,882.0,12.88952,1.911532e-05,0.006440866014189,0.0785188,19.91503,65.9072,19.83792,2.8159530000000004
A2M,567.0,4.36585,8.37475e-06,0.071259,0.035650483,6.89309,48.98879,7.78765,22.74689
A2ML1,1328.0,9.52724,1.629208e-05,0.0513639999999999,1.030406,10.91826,43.65378,11.81989,22.44464
A3GALT2,82.0,3.0876,6.7526e-07,4.3448e-19,1.98884,0.0111572,-22.344,3.1588,-14.6668
A4GALT,308.0,14.1862,3.97012e-06,3.23792e-07,6.977740000000001,7.022259999999999,-10.67066,15.953,-29.3202
A4GNT,56.0,2.04492,1.42616e-06,0.05584,0.045108,3.89904,11.654,3.71468,3.69812
AAAS,471.0,6.5889,1.36752e-05,2.76725056827396e-06,0.1972241,8.80277,19.63081,8.7493,3.999814
AACS,311.0,3.97186,2.89848e-06,2.74535139e-14,0.396703,4.6033,5.8783,5.71475,4.78756
AADAC,90.0,2.81653,1.81424e-06,0.00059828517,0.237776,3.76162,2.7405,3.70755,3.82147
AADACL2,119.0,3.4413,2.82306e-06,1.0231880000000002e-14,2.73845,0.26155,4.07231,4.12257,-0.257806
AADACL3,54.0,1.6727,7.8792e-07,3.117e-08,0.404,1.596,0.73028,1.84656,2.1306
AADACL4,66.0,2.43579,1.24945e-06,0.00434971,0.137279,3.85836,2.8317599999999996,3.55385,6.056699999999999
AADAT,160.0,5.461469999999999,3.79179e-06,6.218268,0.0458147,7.73597,69.9753,13.39932,6.5283500000000005
AAGAB,194.0,8.50601,3.81598e-06,0.001827930126,2.22432,7.77386,-17.64846,9.12895,6.455051999999999
AAK1,207.0,3.23556,6.55253e-06,7.061188317,0.143267000011276,1.795535049922,59.8086,8.849730000000001,0.4294200000000001
AAMDC,344.0,24.34655,7.948119999999999e-06,0.0012950549,7.88958,18.10916,6.606,24.57551,15.13886
AAMP,83.0,1.8742,3.44284e-06,7.9632,7.664002364e-05,0.036737673,47.4463,7.27443,9.75764
AANAT,67.0,4.0513200000000005,1.04597e-06,0.01708445,0.5921820000000001,5.39074,-3.92688,7.67417,-7.97799
AAR2,443.0,15.1972,5.39193e-06,2.489408e-10,10.65876,3.34124,56.4725,13.68642,18.75378
AARD,30.0,2.3296,3.4836e-07,2.7836e-06,1.07674,0.92326,-4.7572,1.97786,0.21238
AARS1,863.0,7.82978,2.24189e-05,1.9399554600000001e-13,0.002366008,11.99768,65.62923,26.76896,16.1498238
AARS2,354.0,3.0688,1.05541e-05,1.950755015e-10,0.000192147,4.9998,24.241,4.52621,10.318
AARSD1,113.0,2.65411,1.83535e-06,2.49780045026e-07,0.97472,2.02528,4.14923,6.73041,3.308884
AASDH,1218.0,16.29361,2.060146e-05,1.3300156284980001e-12,2.582671,17.41733,49.8068,18.2975,64.4427
AASDHPPT,52.0,2.3809,1.56628e-06,0.625094,0.1073026,4.2676099999999995,6.8523,4.97178,9.0121
AASS,492.0,6.19105,5.64749e-06,4.4618900000008304e-08,0.397996,7.60201,56.53435,22.424709999999997,24.090712
AATF,411.0,8.45771,8.73004e-06,2.75610683062e-06,2.09942,7.90058,28.4859,14.87849,-6.981689
AATK,401.0,8.48817,4.98033e-06,0.0037763000000425,5.4244,1.571820372,-83.30808,14.2106,-71.6613
ABAT,1220.0,22.31184,2.1906545e-05,0.007560868556827,2.2745605,26.71784,43.549130000000005,36.6005,-64.1356
ABCA1,430.0,2.90661,8.87874e-06,0.0002824960044485,0.2001020000000045,4.7996099999999995,27.43641,4.57012,9.56138
ABCA10,574.0,5.36996,4.796302000000001e-06,0.026252,3.83478,2.13898,17.848110000000002,10.5628,6.95166
ABCA12,698.0,2.78909,1.153265e-05,0.5401800000377721,0.0317470000000113,5.42808,43.0722,5.13748,17.961
ABCA13,8422.0,25.08451,6.350158e-05,0.00016722,24.92612,1.0737214651384,1.2523882000000002,28.15288,-5.9635821
ABCA2,508.0,2.79596,1.902963e-05,6.0065930000000005,0.071491,0.9219183346,88.24682,13.2577,-57.903400000000005
ABCA3,271.0,2.01793,5.56428e-06,0.04164800125112,0.01723700179773,3.94111,10.98347,4.3418,-7.8329
ABCA4,465.0,2.14537,7.3335e-06,6.0234e-22,0.00829977206,2.9917,9.678,2.95808,1.33134
ABCA5,444.0,6.9368,5.9941427e-06,0.1896170000205381,1.098526,6.71184,3.80344,11.81461,2.76675
ABCA6,925.0,9.18703,8.73805e-06,8.684e-06,6.36185,3.63814,-7.53017,9.678,6.22783
ABCA7,4454.0,27.75117,4.568249e-05,3.465857012087e-06,20.57126,2.428735215050767,-194.254884,31.4559,-150.026977
ABCA8,1156.0,10.32999,9.065497e-06,4.6848e-06,9.30875,0.69126,12.627595,10.09381,19.34937
ABCA9,1357.0,10.17821,1.692807e-05,0.0224930062116,5.358707,6.6188,46.1851,10.88932,26.495583
ABCB1,454.0,3.99702,1.2286691e-05,0.0781551127,0.1677700434318,7.75408,51.5675,7.34745,11.5096
ABCB10,196.0,3.36472,3.32034e-06,1.28500656588e-10,1.097984,2.90202,13.87428,4.054740000000001,-1.9927000000000004
ABCB11,711.0,7.2501,1.245754e-05,0.0091857278754996,0.156417132,11.83438,35.4567,13.49392,1.753279
ABCB4,1058.0,9.51636,2.337165e-05,0.01364112036403,0.454251413033,16.53211,159.739,16.2965,53.63595
ABCB5,589.0,8.8726,1.077768e-05,1.4929e-06,6.33965,2.6603573999999997,-29.2829,10.9776,-13.659275
ABCB6,348.0,3.2711,6.057e-06,3.0234640000000003e-23,0.37452,3.62548,13.14319,8.3435,-5.110278999999999
ABCB8,520.0,8.93342,1.279319e-05,0.0007550549381997,0.629872,11.36936,18.94492,17.80656,-3.59326
ABCB9,801.0,17.23887,1.3530194e-05,1.308010185719,1.4559205,24.23603,79.35759,27.2067,25.4220495
ABCC1,1052.0,6.5377,2.51502e-05,0.000663618324,4.20774304e-07,13.99935,79.5592,16.2839,-35.5114
ABCC10,2105.0,16.76089,3.753064e-05,0.031867049646,1.312039,19.65609,112.7454,19.18894,45.66128
ABCC11,2297.0,17.18055,2.685466e-05,0.00048684,8.688735,11.31078,54.38481,18.85446,28.65217816
ABCC12,612.0,8.09233,6.8282399999999995e-06,2.509958e-05,4.84577,4.1542200000000005,26.14419,13.39132,9.86668
ABCC2,749.0,5.88986,7.6094e-06,6.1934e-06,2.332009,4.66798,22.61685,9.97177,18.35224
ABCC3,363.0,6.6220099999999995,5.165557999999999e-06,0.0038997626018805,0.52697058,5.46913,11.92626,11.23146,14.78614
ABCC4,812.0,7.28397,1.412094e-05,0.00012513010708,0.000170567212,13.99969,78.85730000000001,17.4521,-0.980566
ABCC5,592.0,5.9044,2.341652e-05,16.62543,0.0632682050014127,1.31127216223,178.2459,20.01816,36.75979
ABCC6,1196.0,9.8139,1.614126e-05,0.1309699583,0.5710865,12.29794,39.8352,15.24983,17.700631
ABCC8,2887.0,16.975550000000002,3.371563e-05,0.1619800000012861,0.3664269599999999,22.4716,324.59839999999997,58.06166,94.32771
ABCC9,1132.0,8.61037,2.511885e-05,3.35587314209,0.029747435149168,16.61438,330.75969999999995,20.32991,23.72701
ABCD2,134.0,2.47912,2.65401e-06,0.21920111,0.00225565,4.77855,31.1899,4.74533,4.24491
ABCD3,137.0,2.37146,7.66168e-06,6.537459999999999,0.0030441020057,0.4594694,37.5837,7.15143,0.0188499999999997
ABCD4,1755.0,28.0828,4.482758e-05,0.0014682752165011,0.70465212,41.2939,63.68085,56.62045,-20.382346
ABCE1,51.0,1.24769,3.0800500000000003e-06,3.65291,0.004194658027,0.3428771,63.5168,5.68688,4.230329
ABCF1,373.0,3.56929,8.98604e-06,8.339907599277001e-05,0.0964862562,5.90344,58.1597,6.1471,17.157690000000002
ABCF2,91.0,1.68236,4.28522e-06,0.9220172,0.0044904106,3.07349,31.5824,3.76459,2.689372
ABCF2-H2BE1,76.0,0.9522,3.2996e-06,0.0010744,1.98732e-05,1.9989,20.278,1.99678,0.055708
ABCF3,443.0,4.97415,8.63724e-06,1.267073e-09,0.003084088,7.99691,29.43881,8.65347,7.747199999999999
ABCG1,454.0,6.99708,8.84823e-06,3.1258076000000004,0.02133098374,12.85284,97.4699,15.3085,14.00947
